1E11 892
A3A 1778
18A 22C5
1ACF 2534
1DAC 1400
2058 2505
1FCB 2290
142B 1414
3E3 4FE
2007 2153
1A49 1005
AC0 475
249E 9AC
1192 DFB
2A9 20B
9C 4D1
1476 7F7
1FEA 1576
A47 AAD
A68 172F
DEC CED
1CB2 850
17E5 6AA
12BD 1822
1A1A 296
1C64 153C
80 94C
241F E4B
D8D 1598
1F89 5FC
12BE 21
214 CD0
2409 2AF
23E2 11FC
EE0 DBB
2034 1179
119A 1DBD
1E1 A76
1CC0 4F
19F9 157B
1CB3 2171
12C2 1625
19EB 51D
EDC 1557
54 234F
24 1CF2
17FD 67
16DA 212C
F45 1B56
134E 2417
8A4 1162
14A5 A5F
471 11FE
1C03 21DC
16E4 5F9
494 6EF
829 1988
E95 286
20CA 1B15
2436 2025
FBA 1CA2
368 627
6C7 1B38
81F C94
1DEF 1D8C
10C1 1136
C9E 26D1
77D 5FE
FDA B85
C03 BB4
EBB 27E
D7F 20AA
1C44 216D
2597 25E6
1986 1425
179D B36
1287 1748
5E4 127E
1848 6AF
1686 1722
3C0 A1C
BEC 1A17
1C5A 551
211D 2053
2363 1C38
18D2 1A86
DFA 228A
1A79 4E2
1A8E 232B
BEF 1E52
2399 92C
1C55 225B
D11 10AF
13A8 265E
AF4 1CC7
587 1335
25FE 1787
1A67 F7A
45E 1E5E
147 843
183B 2ED
24C 1E45
75C 171A
546 1295
1526 E7C
1F52 F90
10A4 3EC
1892 839
1156 7B1
1652 1BCF
20F6 E42
16E 22F5
1FC5 1A3E
24A D6A
1E0A DB1
10CA 16ED
12E6 F3
E77 2039
1C69 D6E
966 1935
121C 5BD
1D0C F57
42A E85
1E65 2639
22B0 19D9
19A5 2356
3FB BD0
ED2 455
1905 135C
2616 C31
5FD 210E
2411 4EA
A76 244F
267F F78
17E9 4AE
218C 13A0
232B 1AF8
9A3 2372
1A23 12FE
241 6D7
2407 A07
226A F87
7A4 1B08
946 1FAD
D09 1648
9AE E24
142E 2493
1B76 797
76B 2507
14EC 157F
FD6 16A7
13B 18EC
D72 1421
10F8 848
5C 2261
B07 888
EFA 22DB
9C 21E2
6C5 1C00
1E31 B90
7F8 41B
141 2504
1A8 1F2D
1C51 2396
1B4 4B4
FE0 3D1
B76 1ED5
1757 2F1
14C8 1A90
1501 1E70
2427 2441
1650 2035
1416 B60
1843 35C
4BB 30E
3E3 21BC
7A8 1C55
903 14F7
1A1C 1C55
2062 F0A
1EDA 650
25F7 D19
CEF 1ABC
238A FFE
A97 1043
2368 A25
21C6 3D0
26A1 987
F89 159B
A91 9F2
F06 194F
2700 13CD
144 210A
24C7 C6F
2152 EA6
25F5 2602
E9C 111A
1DF5 2345
2066 C6
1F82 40C
37 148E
1F98 10CA
680 1413
359 1A48
252C 1B35
1F8D 25A9
2224 BB0
233D 140A
203C 617
35C B3B
5F8 18A
CCF 109E
F88 1559
9C0 2282
104 117D
2344 EFD
2254 458
F4B 13E8
1615 2547
1645 3E
F2E B7
1D35 C76
2667 6A5
1859 19EC
12DA 18A4
2C4 3EE
1E55 169
BD4 2163
175B 246
1599 186A
239E 668
1564 35B
1D1 53E
1A87 1EDC
1596 2101
1941 1E28
24C5 A9A
8EA 31B
26B4 14C
20F4 17B0
15F 1D89
1F87 2094
1496 2D
2496 BD1
1444 591
A4D 1DA1
1FC0 197
B87 57C
6E9 1D19
9E4 146
31C 1405
251C 1F2E
FA7 2157
2317 4C7
19B3 1137
1776 1E3E
A85 227
21F0 1C98
1C3B 1EFB
219B 1D3E
584 25B6
5AA CE9
1B18 A1E
1F62 5F4
1A55 243A
AFF 70B
1D92 20CD
1409 951
2477 155
63B 524
AF9 5D
21F4 1B88
8D2 206B
119A 8E3
5EC 1A0D
178D 103A
F48 262F
F5A BF0
400 D48
200B 23B1
161 1695
1AA9 1A80
AC0 4ED
9F4 1D18
258 58A
1807 73B
99A 1D0A
C84 1AD3
213E 24DE
42 ADF
1B85 BA1
BA8 661
1665 1C85
1171 1482
220C D2F
12CC 24FD
D7A 815
16A9 22B5
245F 21DA
955 1FF2
16F 72F
2527 869
2520 272
1328 2F1
1DBC 169C
22D0 6B9
BF0 24C5
19DA 22E0
1D54 5C
856 25CF
56B 4F2
2B4 2189
796 7F6
AE4 ECF
E43 22DB
1363 20E4
1C29 155C
1C3C 100C
47A 2157
17E9 89
144F 7A8
1FF5 C3A
170F 1097
211F 1E48
634 11A1
1B53 B76
1306 871
FC2 25CA
870 24D4
105E B9E
CD3 496
C8 179A
F3 17D6
798 D74
200E 2FB
1C39 113E
2A0 1099
2CC 1CC0
1B26 1786
1789 1106
DCE 1419
31 1888
223C D87
2230 4A7
1BB 1E56
1F15 68E
487 1009
115F 1AB9
78D 445
182A F60
15DE 1892
1FDE 20A9
14F1 1ABD
26B7 1E99
4EE 4D0
248 1EBE
1DBA 257B
A4C 204B
179 21A0
454 23A5
505 245E
1B4F B9C
20D2 79F
A89 FA9
2359 1B0E
C61 B86
85A 2097
1928 1101
2437 D2E
940 D9A
D40 22C2
246B 23D5
1BBD 122B
221D 6A
15E3 36A
1BB6 1165
E35 AC8
13DE 13E9
2594 1C41
2515 2F4
606 2678
21C3 10A8
18EA AD3
24F6 A90
145C 1CF4
E9E 52C
1928 1354
25F4 1729
19B9 22C5
1BCD 1417
854 116D
15E5 461
1233 1440
1061 22B3
8B5 20EC
19A2 2F1
8EE E65
1E33 1847
2343 1DF
14B6 1889
24A 200D
11CF 1190
162C 1F66
1337 1B45
2567 1A18
16E1 9CA
2E2 C6
15B1 1442
1796 1B49
12A8 1AD7
23DE B46
1702 10AA
A2C 1282
1B54 1CA4
570 1D2C
104B A4A
15 1FB5
17C1 23DB
1C1 B82
19BA 1391
21DE 9EA
4CA 1AD2
487 1E7D
ACA 235A
8 264E
1142 3CE
214 12EF
92B 1D6C
23AF 452
14D2 1869
201B 255F
23E0 18C0
1030 E4E
1848 1B63
242A 11DA
199A 730
EEE F45
10E C74
72A 1FF0
1859 2607
744 151
14FE 1181
19E8 825
141C 195B
126C 5AB
6F9 977
2532 17B8
C3C 23DF
2434 1962
1DD4 505
25D 97
1BE0 1559
A0 13CF
187B 677
5EB 1795
D76 FB6
D2D 1705
C70 EA8
1737 7E4
79 1403
2118 17FA
1946 826
D5C 2150
BF3 25D9
1671 A79
17F6 575
1F59 8A3
1FAD 1FA5
204 1052
1203 FF
1107 8B8
8CE 85D
26CB 6FB
EB4 9DC
EA4 593
1151 21A7
22A9 18F6
25DC 23F7
10FC 227
258D 1AFC
C92 906
1FE 1295
1B6F 218
1BE1 959
103 24E7
6A6 2629
1386 1C3E
42A 190
24E9 6C
71A 2A5
1268 1CFA
8B5 1CF9
B31 132C
24AE 1A1D
1DBC 1067
1E50 E74
1484 2494
D10 671
13F9 5E1
1C67 383
158A 1F47
30F 981
A6A FCB
4DD 2001
11D5 21B4
20C1 1C70
3E0 153D
1538 41D
1C8F 1667
1F0F 201E
237D 2396
46B 154F
109F 18E4
1D6D A8B
171F DE4
1369 229E
11BF 220
1860 11A8
2014 341
16C3 F0E
2F6 115
10EF 12CF
B69 1CB5
44A 2373
13C1 188
442 19C9
145B 219B
E81 189B
704 150D
1E8D 6FE
205A 1725
6EB 6BC
20B 14BA
1AAC 2102
EC9 15CF
1CF7 462
E7E 251D
2632 2001
24BA 13
13AD 2D0
1339 22D9
1453 2689
11F1 743
15CC 1D84
1F7A 50C
76A 2704
6F3 1457
432 1D95
164B 258D
18D7 22F7
4D0 1791
1E21 742
12A1 18BE
1679 11D3
872 10AC
315 2604
12C0 13D8
1EA1 145B
1221 1912
1B35 269C
24FF 4A8
D7B 11DA
17B2 818
1CE5 6B
227F E45
18AE 185E
104 1231
247F 16CC
2636 127B
A36 57A
1047 220F
2703 3AE
1136 10A
25BB A7B
2168 825
220 917
1402 BB7
2065 204C
206 89B
18B7 E35
189C 25B
1555 220F
983 13DD
17ED 2245
7D5 26AA
89F 4C5
20D 1F5C
16F9 D62
CC6 207C
E7B BAC
4C5 1F8B
BA9 1208
EBF 1C61
2379 23A9
DEC 151D
26FB 1107
5A3 23A2
ACD 4B3
21D9 594
B3E CCA
788 1125
680 8B4
1E3E DB7
1C5A 1FD9
2064 337
200D 19EE
C6F 1FE9
1D0A 74B
1032 1A79
32A 1C35
13EA 2223
1B81 540
B9F 304
1799 158C
21F7 976
4DA 1965
F47 1958
7F5 25E2
18D2 1D6C
194E 2663
1CF1 1770
CF3 1EFD
22CB 2267
C81 56F
22CE 142E
C76 801
262F 1A5A
1F6B 2193
25AE A1A
144D 261F
61 145B
1E40 3D7
18B1 2628
1689 22DF
616 1B4D
12E8 24A6
1266 1918
1E0C 1B4D
269A 3D5
260E 1AFB
9F4 1E5A
2023 31D
CF4 21D6
198C DA8
1215 5F2
EBD B46
B0D 14C3
13F9 7DC
1338 BC4
1165 7E8
16C1 523
24A4 FD3
1C62 FF4
269 13B3
2441 103A
2D5 1236
201B F49
14C1 A82
1107 10A0
1BF 1C5D
F1 200F
1170 111B
921 2287
6A6 774
E28 D30
2459 B87
232D 1947
71B 12D4
260C 1350
6F4 303
1CE5 1ACA
1A27 1BE
145E 25BA
BCB 12CF
76D 24FD
18C7 1B2F
244C 154
23C9 26A8
B8 1088
15B 174F
E8A 2490
17DB 56E
26F0 144
85E 1B83
16EB 1B8
10B4 1DEA
2564 9B5
EF4 F78
11AD 13F7
1C98 D34
1A17 1935
1CCC 1CD8
21C2 2226
96 BAC
D22 1937
15D6 C58
128C 1ABA
1FF8 13DC
1176 14F5
CF2 123D
44F A7A
84A 135
3C9 2075
15FE 55D
8F5 17CC
1F00 FF4
1824 E00
2007 BFB
A6C 1E96
EDE 667
1BEA 2261
1D4B C70
851 3F2
2275 1E03
CC7 3CE
8BC 215E
77 167F
AC5 1CA9
1538 1392
2611 2584
438 872
15B7 2634
1EEA E5A
1B70 22FB
1EF0 1C7A
170A 9A6
26A5 1D4B
240A 2547
1AC4 1B19
13E8 140D
139A 1AD7
26EE 25EA
24D8 1A14
253B 250F
231F F95
E05 2D8
1D88 2187
22AB 1DA1
1441 1B02
137 17DA
628 17A
1654 BC7
B7F 26C2
248C D97
D9 F42
8B6 1776
254D 21F
D5E 973
B16 1872
1A21 1ECF
1809 E7
5FB 1E9E
983 4CC
1833 23DF
1D09 1E52
A81 B38
2E4 B4C
B8 DA2
959 37C
2A7 358
EB8 1180
12B2 E3
215F 1465
1F0 2587
A3F 23DE
1283 F0A
901 D28
7CF 12AF
AC4 53
152B 16CB
258D 14D1
14A1 406
205E 1289
1DA2 1FD2
1804 359
2148 200D
2701 20B1
2495 DEE
1DC1 1B86
1F7F 25D
16D3 4D3
C73 188A
21C6 FCD
7CA 62A
111F 19F3
1010 18AC
24DA 335
1359 2281
42A 230E
202C E25
E2F 5FF
227C 1E13
1992 1D80
1B82 1C05
9C3 12D9
22D6 1E4A
47B 1ED7
292 2463
269D 1D15
FBA 1CB5
2D6 206E
163D 16AF
23F3 21E4
1F8 2569
DEC 15A7
15C7 1F1A
1140 213A
139A 29C
A9A 1603
18 E1E
13AF 240E
F87 14B9
1972 1FE7
1E57 523
152C 433
2E8 2587
FDD 628
19FC 2020
1911 18D
22E0 78E
24AB 1111
18E C43
1F3F 9B4
18BA 22F8
234C C16
2274 92B
DFE 17C3
10AB 85
1F04 16B8
209A 13D3
122B 4D1
25E3 DEE
393 1B15
117F F14
1666 239A
1A3A 124C
130A 23B6
1873 1D6E
EAF 9E6
66E 13C3
1A11 220F
A5B 2093
24CE 17FE
30D 16B7
12C1 9D8
2563 259F
1C8F 5D5
52E 1FB
1106 1175
1767 1029
1E02 232
1CD 256E
B7 1DF6
CF9 1AD7
EA5 26CD
732 322
26F7 1EF4
969 189E
DC EA0
EE4 1B22
1092 150
24C1 215C
2674 133F
1D24 17C7
C3D 270D
1226 11A
835 927
180F 1723
7A 92D
C1E FAF
9F7 85
20F4 BE1
17A4 43A
20D3 F4A
FDE 2499
840 308
14FF 94E
D62 1EAB
160D 7A4
24D6 D2
1FF4 1089
1E6F 246B
CE3 1F67
1981 19D2
D2D 2337
13DD 1BEA
B52 12D
7D6 CA0
6FF 505
18EF 1797
C28 12ED
1F3B B76
22A9 1D63
676 1FF
B4B 315
11CD 1F7A
1672 143C
88D 1B6D
10D3 3A9
1E5C 663
1B69 511
131D 19ED
1D76 51B
9D6 5AA
258E 680
2580 26B4
10B7 1249
2AB 1458
46D 14B9
CF8 DFA
24B F95
44D 8DA
A1A 11BB
130D 1E2C
1D2D 224C
1469 DA7
374 16F6
18EC 867
18A7 102E
C05 FDA
1C48 1E79
43B 996
CB1 210C
5F5 AEA
42E 2282
63A 2660
CF4 1C45
60B 176A
1A92 19DF
ED6 2383
1084 268A
2598 36D
1F63 D23
1976 1EAA
24C5 14E
15E8 E74
263C 1F96
1569 13CE
C95 139C
826 1B0
23B8 19CE
647 2A1
2354 7A3
181F 144
1D4E 26DC
7F5 1019
26D9 1D64
1526 152D
1628 17BB
BC0 BEB
15DC 1CBD
10C2 B79
26FA 16DE
251E A57
F5C 13F0
FD4 370
21E2 398
22FF 679
3BB 2324
165F 195E
128 5A6
D10 204B
6ED 1CD9
10BD A5E
2138 DF8
2590 782
E8C 1C48
1ADB DFA
1864 B60
CEB 1DFF
25F 174
1378 198E
BEC 2148
1EE0 143C
14A7 14F2
F0A 209E
143E 2DF
A92 270E
ED4 26F9
1084 542
20CE D26
23BC C7B
1233 20C0
15F3 1112
1676 9DB
12A8 1EEA
1ABE 1040
2096 17C8
2C9 C18
17A0 13DD
1A58 1909
215A 21BD
1403 1339
FEA C8C
22D1 1E76
1661 19F2
DDF 1695
1504 14A0
2192 202C
9B6 1F5E
2145 11AC
1963 2670
1301 9BB
202 216D
954 1134
1F08 E11
11A2 B21
445 209
21AD DFA
1C13 1F03
2381 18B2
2164 FE3
52B 339
1CC7 1F8B
7B8 12FC
1B20 C97
7B4 1B37
109F 246A
1735 1AB2
2BE 1B0
15B1 5B5
26CF 18F7
2645 24AF
DD 1B56
C06 1866
1470 CA3
2473 DF6
2503 AE1
17BE 2230
18E9 E97
1376 17D6
856 20F6
1811 1D2B
612 49D
27D 27F
1D36 2331
188B 7DE
1A06 7CF
2293 4C5
1FFC 1CDE
D3 1610
34A 6EC
C24 16D2
12F2 AD9
6BE 366
155 19BA
1360 1041
D11 182B
7BD 22D7
1948 164D
8E4 2C2
2111 2687
BF0 DBA
58B 266D
10A3 401
202D C25
1D0A 71F
1919 CF6
2500 20A4
5C4 2594
B89 256F
1E7F 1A76
1777 726
1CF7 22AF
AA0 936
2392 1ED7
2149 1475
23E0 EB5
6DD 2197
F30 B2B
19D6 1BEC
955 1FE7
23EB 11F4
1A12 1362
1570 231B
14E9 90D
988 350
383 1A7B
403 1B06
22BD 1045
30A 150
23C1 7F8
2409 192A
3EB E8A
25B1 176F
B3 244F
1193 9CE
83 A9D
332 955
1B46 12CD
9B8 27D
1EF7 2112
1200 1D7D
2485 15FD
465 239E
1F01 665
140E 1D11
1A30 1C6
469 7BB
2122 17DA
12B8 2050
D80 8D2
AC2 2097
1BAA 238B
14D2 18AC
1F74 1C14
11ED 82C
1971 1AE5
1CE 1438
15CD 25DC
10F4 1CEB
E0 F4C
79 7E0
4D3 7FF
2074 127C
1293 1BEA
3A5 15C5
2293 1C44
14AC 18CE
B7E 1026
1D1A F2F
3B6 1E5A
2666 12F0
8DE 127A
226D 313
A7D 1A5
26C4 1D9C
14F4 1F8F
C67 85E
1FFA 125D
1DCE 1780
1060 5CA
1007 2527
CC 92E
212D 211A
26EB 15A6
124B 140C
18A2 1633
274 102C
778 1619
1A88 C2D
13E0 3A9
1DF3 1AF9
8A 23BB
2496 4F7
1C5C 419
1D42 17F0
D54 709
18D1 35F
9DD 163B
18A 2373
804 1A74
8F7 13AA
1359 D3A
1314 170C
1224 54D
269A F05
1E2 1999
168F 124F
2690 19DA
7 1A8C
1E 89C
26C3 EF6
8F3 6D1
1422 1E7C
212C 4E9
1D2A 493
1CD5 1FD5
61D 2064
420 5F2
ED5 1B9B
258F B48
137C E0F
6C0 1D73
26C0 10F4
1B14 13A9
2271 1C32
106C 1B5D
1928 E2B
1492 B11
BC1 D4C
1723 1C35
2386 20A9
2037 2462
55A 31A
A98 15FA
1D40 F80
2A 198C
C59 45E
869 A9B
825 156C
7B8 2326
A43 76C
154A 1BB3
895 1341
13B 1F7F
1DD7 C99
1F46 1956
143E 20B2
A12 17D9
2543 1600
340 F23
2195 21AC
D3D 1FF2
1788 1A30
26F5 14BE
B9D A5B
F99 1427
535 11F0
C34 EC5
390 1A3C
D45 739
A37 1797
76D 1E44
F2A 1DCD
5D0 EA9
16DF 17B8
1B27 1F02
2578 13C7
F1E 1550
269F D0A
10F0 1664
15C D4
1033 1CE0
2363 1CBD
10E6 14D8
A0E 28F
1D5 B7E
25A 188
1152 17A1
B89 2589
2703 245E
64E B76
2604 19E
1C26 BA8
122F 25D5
20AC 1CDC
1BC4 A86
1C40 ABA
16C6 1FAA
1F5C 1E6D
14B6 13BD
FFB 88E
251A 2561
42E AA
1B4 E3F
25A1 569
1AAB 1B3A
802 1C65
1EDF A54
1E36 263E
1032 232D
3F5 25E9
A72 1766
26F7 B49
10A4 2295
20B4 26BD
653 AFF
1AC 858
24E5 768
660 702
215A 12FA
1B56 5B4
2319 21C3
239F 1DED
10F4 14C9
2022 1710
2548 19E4
226D 2348
F60 1A60
1402 1946
3BA 268E
12DC 23E4
1401 BEC
19F7 814
1E04 1633
122 1DEA
265F F3C
C18 2437
165C 71F
1EF7 18F9
7E3 12DC
485 1A1B
F0E 2258
5E 199E
ABE 3EC
116F 1AC8
2375 18AF
1DC 129E
30A EBF
65E 52B
1969 79
1863 1AB0
1CF4 273
2451 1606
16CD 2636
2629 222A
23AF 1AAF
C77 15D6
1F5E F89
4C0 757
EC9 24C0
FF5 1380
26DE 142F
15E8 20A8
203 12AF
26F7 FC0
1A2E 5E6
109E 25A3
48C 1739
197B 9E5
5E0 115C
156 15BC
1ACB 162
15E2 21DB
1581 231D
1F91 428
BCF 15E2
11B3 14AD
D0B 1C39
19AD 13CD
766 24C2
23C0 295
1EFC D1B
93D 2108
E88 108D
B55 1390
62A 14EB
E72 101E
238C 717
14FE 395
1E97 22E0
2142 1B03
21D1 26BA
1DE4 1C2F
8FD D06
196D 15EC
17DC CB2
230B 240
114E E1C
11F6 255C
AD6 26F2
55A 1B5
226F 1DCC
874 20FA
1BB7 57F
C58 2282
7D6 D40
1929 916
92C 142A
2113 74F
4B5 2C3
199F 13F2
76D BE3
2383 227
21A 20F7
3CC 1EFA
189D 1EB9
19A0 1345
1D74 14C9
1B69 226B
1361 198F
767 398
20CD 11A7
22D0 30B
15B 1048
D5C 22AC
25AC 1681
1BD 146B
18C7 142B
1CB5 208A
101E 10A
D27 270B
21BA EA9
2542 7E4
E98 1E8
179F 296
1F9C 5C5
14D9 1ACA
145E 2C6
C59 205A
264E 1AE9
18E0 EEF
1004 115D
1CF6 1C0
F70 277
1132 22D
12C 1F17
E2D 1949
100E 251A
1E4E 1538
1233 1805
BB1 14D9
1BF3 11F
19CB 266
1AD5 2652
F6B 1B87
18E0 1C12
176B 24AF
106C C90
23E3 1D57
118A 25C7
A2E 2660
191A 1472
1283 20BF
3C7 DC4
25CA FAC
1931 4A1
1DEA 2A3
1D77 6A7
10CC 69D
1CED 178F
19D6 7B6
820 C64
16C0 FC9
100F 1089
D8F 1A96
60 39F
17FF 259F
255E 1E92
9A FD9
AED 226
7D5 88D
805 2512
2AE 1AB
901 CDA
649 1EF6
279 A7C
64F 1DF4
1920 26A9
1B5 1EB7
D2A 225
239D 7C3
1A42 1DAE
16B3 1D3D
EFD 712
453 197B
40A 145
AAC 703
1A5A 320
EBA 11CB
1507 1BBB
C3B 111C
FD9 B73
1869 FB9
EA 2056
22DA 2068
170F 12F7
1F24 374
1A92 712
BFD 1C94
24E8 101F
1D3C 126C
B93 11F6
66E E03
1CD8 EA5
141B 18CB
11AA 350
1A92 25A9
56F 23D2
15EE 12A9
1A41 1E64
9AF 8DA
1A8E D71
1C6D 193
AF 15AC
16EB F23
EE8 24F6
D45 1D13
186C 317
2E5 1D81
F54 5B6
B6C 1A50
219E 871
82A 26FD
61C 24AF
205 A56
113B 1746
163B 2244
249F F9
18B1 1843
9D9 187F
602 C5F
8BF 1C5
1EFF 1D8
69E 2493
2305 237E
12C5 26F8
1E68 61F
127D 17CF
201D 1E7F
CFE 1EEB
20A0 1F66
87 1DD7
ECA 249B
B5C 19AD
24F6 EDD
B62 29
1C9E 2607
8E0 1DE8
17C4 1961
62D FF6
BC7 172C
A02 6ED
541 18F3
1E42 3B4
17C7 66D
251D 3D2
12EB 17CD
2265 107E
16D2 1F9F
1AD3 95A
680 2291
23B7 1116
228D 2364
1D85 1C95
18FA 28D
CCA 3EE
192 1224
2CA 92
C12 1878
2309 158C
2417 EBC
5D4 26B8
FF7 878
1C2 1037
1A87 524
C76 1A32
EC2 17C5
667 2475
15D7 1791
16E7 A06
1BC7 B43
1B3A 19A3
2545 9C4
E1B 125C
174A 1AE3
10C1 1C18
1BA 1A01
18DA 1B8D
1446 1AF9
254E 2569
40D 7CD
36E 7B
1038 838
199A 14FA
2635 1423
1536 1F9B
15E3 2428
176B A4C
51 E05
2547 A4E
349 1924
16A8 E54
1642 251A
E78 10B4
32D 9A2
6E5 1700
F77 19DB
B99 EDF
20FD C2
24B6 19E6
2335 1061
1B9D 131B
1D1A 774
A63 2277
9C5 4D6
1892 206A
73C 25D3
1682 1CA4
1CA5 25DA
5A6 44B
D07 9AD
